title,author,publisher,year,pages,tags,description
가재가 노래하는 곳,델리아 오언스,살림,2019,464,"문학, 300쪽 이상, 소설",생태학자가 쓴 소설이라 곳곳에 아름다운 자연 묘사가 펼쳐진다. 늪에서 일어난 살인 사건의 비밀을 뒤쫓아가는 스토리라 아이들이 쉽게 몰입할 수 있으며 사랑 이야기가 재미를 더한다. 책을 읽는 즐거움 그 자체에 몰입할 수 있는 책.
가족각본,김지혜,창비,2023,248,"인문사회, 200~300쪽, 교양",동성애 결혼 이야기로 시작하여 가족에서 배제되는 사람들 이야기를 들려주며 정상 가족에 대한 편견을 들여다보게 하는 책이다. 단순히 가족 이야기에 머무는 것이 아니라 가족 내 차별이 사회적 차별로 어떻게 이어지는지 들여다볼 수 있다.
가족의 발견,최광현,부키,2014,288,"인문사회, 200~300쪽, 에세이","자녀는 부모의 ‘투사의 그릇’이 되며, 무의식적으로 자녀는 부모의 좌절된 꿈과 욕망까지 알게 된다고 한다. 왠지 내가 부모의 뜻대로 살고 있는 것처럼 느껴지는 친구들이 읽어 보면 좋다."
가짜 뉴스 시대에서 살아남기,류희림,글로세움,2018,296,"인문사회, 200~300쪽, 교양","이른바 가짜 뉴스라고 일컫는 허위 정보들이 왜 이렇게 난무하는지를 밝히고, 가짜 뉴스가 사회에 미치는 영향을 구체적인 사례 중심으로 정리했다. 가짜 뉴스에 사용되는 언어를 분석하고, 앞으로 언론이 나아갈 바에 대해 논의하고 있는 책."
가치를 가르칩니다,경기도중등독서교육연구회,서해문집,2019,340,"인문사회, 300쪽 이상, 교양",6가지의 통합수업 사례가 담긴 책. '통합수업준비과정-교과별 수업내용-에필로그'로 구성되어 있다. 주제통합수업을 준비하는 선생님들께 추천한다.
각각의 계절,권여선,문학동네,2023,276,"문학, 200~300쪽, 소설","믿고 읽는 작가 권여선의 소설집. 전작인 <안녕, 주정뱅이>의 고통과 절망을 견뎌 낸 인물들이 이제는 <각각의 계절>을 지나면서 조금씩 달라지는 삶의 모서리를 정확한 문장으로 보여준다."
감기 걸린 물고기,박정섭,사계절,2016,56,"기타, 200쪽 이하, 교양",어디서 온 지 모르는 거짓말이 작은 물고기들 사이를 갈라 놓고 결국 모두 큰 물고기에게 잡아 먹히게 된다. 해파리가 코를 간지럽혀 재채기를 한 큰 물고기 덕분에 작은 물고기들은 살아나게 되고 힘을 모아 큰 물고기를 쫓아 낸다.
감정을 할인가에 판매합니다(감정을 할인가에 판매합니다),이세형,네오픽션,2022,,"문학, 200~300쪽, 소설",사람들은 감정을 판매하고 그 감정을 판 사람은 관련된 경험을 할 수 없게 되며 오히려 돈을 주고 감정을 겪으려고 하는 사람들이 많아지는 세상이 된다. 인공지능과 함께 살게 될 미래에 대해 생각해볼 수 있게 하는 소설
"강남역 10번 출구, 1004개의 포스트잇",경향신문 사회부 사건팀,나무연필,2016,188,"인문사회, 200쪽 이하, 교양","2016년 5월 17일 새벽 1시, 23세의 한 여성이 살해된 인근의 강남역 10번 출구의 외벽에 붙은 포스트잇 1004건의 채록물. 여성 혐오에 대한 문제의식을 토로한 짧은 글들이다."
개똥 세 개,이정범 외,북멘토,2013,360,"문학, 300쪽 이상, 에세이","강수돌, 안건모, 홍세화 등 유명인들이 청소년들에게 인생교훈을 주기 위해 쓴 짧은 글 모음."
"거기 내가 가면 안 돼요? 1, 2",이금이,사계절,2016,596,"인문사회, 300쪽 이상, 소설","일제강점기(위안부), 해방, 한국 전쟁에 이르는 시기를 여자 아이 '수남'의 시선으로 서술한 역사 소설."
거북이자리,김유진,책읽는곰,2022,48,"기타, 200쪽 이하, 교양",행동이 느린 서우는 거북이가 좋아 종이로 접어 서랍에 바다를 만들어 넣는다. 그러다 서랍 바다로 들어가며 거북이와 좋은 시간을 보낸 후 돌아와 교실에서 거북이를 좋아하는 친구도 생긴다. 일러스트가 아름답다.
